번호,개방자치단체코드,관리번호,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,업태구분명,좌표정보(x),좌표정보(y),위생업태명
23156,4160000,4160000-214-2021-00051,477821,경기도 가평군 상면 항사리 47-12 1~2층,"경기도 가평군 상면 대보간선로 602-111, 1~2층",12445,페가수스,숙박업(생활),234161.4279,476990.1551,숙박업(생활)
23157,4160000,4160000-214-2021-00052,,"경기도 가평군 조종면 대보리 157-18 외5필지(157-20,157-21,157-23,157-24,157-25)마동","경기도 가평군 조종면 대보간선로 495-10, 골든빌리지2마동 1~2층",12439,청솔,숙박업(생활),233421.186,477291.5724,숙박업(생활)
23158,4160000,4160000-214-2021-00053,,"경기도 가평군 조종면 대보리 157-18 외5필지(157-20,157-21,157-23,157-24,157-25) 다동1~2층","경기도 가평군 조종면 대보간선로 495-10, 골든빌리지2다동 1~2층",12439,한송,숙박업(생활),233421.186,477291.5724,숙박업(생활)
23159,4160000,4160000-214-2021-00055,477821,경기도 가평군 상면 항사리 47-4 외1필지(47-13) 1층,"경기도 가평군 상면 대보간선로 602-111, 1~2층",12445,카시오페아,숙박업(생활),234165.7197,476962.5501,숙박업(생활)
23160,4160000,4160000-214-2021-00056,477821,경기도 가평군 상면 항사리 47-7 1~2층,"경기도 가평군 상면 대보간선로 602-111, 1~2층",12445,페르세우스,숙박업(생활),234237.1105,477068.5212,숙박업(생활)
23161,4160000,4160000-214-2021-00057,477821,경기도 가평군 상면 항사리 47-3 1층,"경기도 가평군 상면 대보간선로 602-111, 1층",12445,에리다누스,숙박업(생활),234171.8968,477017.5942,숙박업(생활)
23162,4160000,4160000-214-2021-00054,477821,경기도 가평군 상면 항사리 47-6 1층,"경기도 가평군 상면 대보간선로 602-111, 1층",12445,오리온,숙박업(생활),234244.5729,477106.0199,숙박업(생활)
23170,4160000,4160000-214-2021-00046,477812,"경기도 가평군 청평면 대성리 428-28 ,27 (1층~2층), 52-19 (1동,2동 각1~2층)","경기도 가평군 청평면 남이터길 52-17 (1층~2층), 52-19 (1동,2동 각1~2층)",12457,라스블랑카스2,숙박업(생활),,,숙박업(생활)
23175,3210000,3210000-201-2021-00001,137863,서울특별시 서초구 서초동 1362-26 3층~17층,서울특별시 서초구 강남대로 253 (서초동),6735,준타워,관광호텔,202827.2057,442635.9586,관광호텔
23178,3010000,3010000-201-2021-00003,100042,서울특별시 중구 남산동2가 43-7,"서울특별시 중구 소공로6길 38, 지하1층~지상4층 (남산동2가)",4630,올리브 호스텔,관광호텔,198614.5502,450677.0473,관광호텔
23181,4060000,4060000-214-2021-00001,413200,경기도 파주시 야당동 1079-1 지하1층~지상19층,"경기도 파주시 소리천로 39, 지하1층~지상19층 (야당동)",10908,파크뷰테라스,숙박업(생활),178951.1375,468243.9916,숙박업(생활)
23186,4160000,4160000-214-2021-00043,477824,"경기도 가평군 상면 행현리 646-2 A동,B동 1~2층","경기도 가평군 상면 수목원로386번길 14-6, A,B동 1~2층",12448,잰트리,숙박업(생활),230951.0756,471821.1343,숙박업(생활)
23188,4160000,4160000-214-2021-00036,,"경기도 가평군 조종면 운악리 298-2 가동 1~2층, 나동1층","경기도 가평군 조종면 와곡길 101, 가동 나동 1~2층",12432,메이플인,숙박업(생활),231046.4666,485159.6413,숙박업(생활)
